COMPANY NAME,CITY,LATITUDE,LONGITUDE,PRIMARY NAICS DESCRIPTION
Briatore Pizza,Bellevue,47.628066,-122.16238,Full-Service Restaurants
Brick House Pizza,West Richland,46.296607,-119.336655,Full-Service Restaurants
Brick Wood Fired Pizza & Pasta,Tumwater,46.99953,-122.91786,Full-Service Restaurants
Brier Pizza & Family Rstrnt,Brier,47.783508,-122.27362,Full-Service Restaurants
Brooklyn Deli,Spokane,47.656311,-117.426879,Limited-Service Restaurants
Bruchis Cheesesteaks & Subs,Medical Lake,47.580324,-117.681704,Limited-Service Restaurants
Buddies Grocery,Olympia,47.050045,-122.796136,Limited-Service Restaurants
Burger King,Aberdeen,46.976506,-123.810925,Limited-Service Restaurants
Burger King,Arlington,48.18048,-122.127014,Limited-Service Restaurants
Burger King,Auburn,47.296153,-122.251772,Limited-Service Restaurants
Burger King,Auburn,47.304697,-122.225188,Limited-Service Restaurants
Burger King,Bellevue,47.616832,-122.183376,Limited-Service Restaurants
Burger King,Bellevue,47.631879,-122.144622,Limited-Service Restaurants
Burger King,Bellevue,47.574366,-122.169946,Limited-Service Restaurants
Burger King,Bellingham,48.784117,-122.484698,Limited-Service Restaurants
Burger King,Blaine,48.994529,-122.734143,Limited-Service Restaurants
Burger King,Bonney Lake,47.167201,-122.146395,Limited-Service Restaurants
Burger King,Bremerton,47.632684,-122.629691,Limited-Service Restaurants
Burger King,Bremerton,47.571054,-122.661166,Limited-Service Restaurants
Burger King,Bremerton,47.568142,-122.633591,Limited-Service Restaurants
Burger King,Burien,47.469837,-122.339203,Limited-Service Restaurants
Burger King,Castle Rock,46.28664,-122.900669,Limited-Service Restaurants
Burger King,Centralia,46.724587,-122.973371,Limited-Service Restaurants
Burger King,Chehalis,46.605805,-122.904099,Limited-Service Restaurants
Burger King,Cle Elum,47.195011,-120.955665,Limited-Service Restaurants
Burger King,East Wenatchee,47.405544,-120.280187,Limited-Service Restaurants
Burger King,Edmonds,47.807212,-122.336135,Limited-Service Restaurants
Burger King,Yakima,46.97885,-120.543676,Limited-Service Restaurants
Burger King,Ephrata,47.30725,-119.560531,Limited-Service Restaurants
Burger King,Everett,47.984954,-122.201854,Limited-Service Restaurants
Burger King,Everett,47.908439,-122.206539,Limited-Service Restaurants
Burger King,Federal Way,47.289338,-122.318663,Limited-Service Restaurants
Burger King,Gig Harbor,47.388486,-122.660918,Limited-Service Restaurants
Burger King,Gig Harbor,47.321778,-122.588093,Limited-Service Restaurants
Burger King,Issaquah,47.545389,-122.063669,Limited-Service Restaurants
